,0
AJXA - Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,AJXA
AKA - a.k.a. Brands Holding Corp. Common Stock,AKA
AKAM - Akamai Technologies Inc. Common Stock,AKAM
AKAN - Akanda Corp. Common Shares,AKAN
AKBA - Akebia Therapeutics Inc. Common Stock,AKBA
AKLI - Akili Inc. Common Stock,AKLI
AKO/A - Embotelladora Andina S.A.,AKO/A
AKO/B - Embotelladora Andina S.A.,AKO/B
AKR - Acadia Realty Trust Common Stock,AKR
AKRO - Akero Therapeutics Inc. Common Stock,AKRO
AKTS - Akoustis Technologies Inc. Common Stock,AKTS
AKTX - Akari Therapeutics plc ADS,AKTX
AKU - Akumin Inc. Common Stock (DE),AKU
AKYA - Akoya BioSciences Inc. Common Stock,AKYA
AL - Air Lease Corporation Class A Common Stock,AL
AL^A - Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series A,AL^A
ALAR - Alarum Technologies Ltd. American Depositary Share,ALAR
ALB - Albemarle Corporation Common Stock,ALB
ALBT - Avalon GloboCare Corp. Common Stock,ALBT
ALC - Alcon Inc. Ordinary Shares,ALC
ALCC - AltC Acquisition Corp. Class A Common Stock,ALCC
ALCO - Alico Inc. Common Stock,ALCO
ALCYU - Alchemy Investments Acquisition Corp 1 Units,ALCYU
ALDX - Aldeyra Therapeutics Inc. Common Stock,ALDX
ALE - Allete Inc.,ALE
ALEC - Alector Inc. Common Stock,ALEC
ALEX - Alexander & Baldwin Inc. Common Stock REIT Holding Company,ALEX
ALG - Alamo Group Inc. Common Stock,ALG
ALGM - Allegro MicroSystems Inc. Common Stock,ALGM
ALGN - Align Technology Inc. Common Stock,ALGN
ALGS - Aligos Therapeutics Inc. Common Stock,ALGS
ALGT - Allegiant Travel Company Common Stock,ALGT
ALHC - Alignment Healthcare Inc. Common Stock,ALHC
ALIM - Alimera Sciences Inc. Common Stock,ALIM
ALIT - Alight Inc. Class A Common Stock,ALIT
ALK - Alaska Air Group Inc. Common Stock,ALK
ALKS - Alkermes plc Ordinary Shares,ALKS
ALKT - Alkami Technology Inc. Common Stock,ALKT
ALL - Allstate Corporation (The) Common Stock,ALL
ALL^B - Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,ALL^B
ALL^H - Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series H,ALL^H
ALL^I - Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series I,ALL^I
ALL^J - Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series J,ALL^J
ALLE - Allegion plc Ordinary Shares,ALLE
ALLG - Allego N.V. Ordinary Share,ALLG
ALLK - Allakos Inc. Common Stock,ALLK
ALLO - Allogene Therapeutics Inc. Common Stock,ALLO
ALLR - Allarity Therapeutics Inc. Common Stock,ALLR
ALLT - Allot Ltd. Ordinary Shares,ALLT
ALLY - Ally Financial Inc. Common Stock,ALLY
ALNY - Alnylam Pharmaceuticals Inc. Common Stock,ALNY
ALORW - ALSP Orchid Acquisition Corporation I Warrant,ALORW
ALOT - AstroNova Inc. Common Stock,ALOT
ALPA - Alpha Healthcare Acquisition Corp. III Class A Common Stock,ALPA
ALPAW - Alpha Healthcare Acquisition Corp. III Warrant,ALPAW
ALPN - Alpine Immune Sciences Inc. Common Stock,ALPN
ALPP - Alpine 4 Holdings Inc. Class A Common Stock,ALPP
ALPS - Alpine Summit Energy Partners Inc. Class A Subordinate Voting Shares,ALPS
ALRM - Alarm.com Holdings Inc. Common Stock,ALRM
ALRN - Aileron Therapeutics Inc. Common Stock,ALRN
ALRS - Alerus Financial Corporation Common Stock,ALRS
ALSA - Alpha Star Acquisition Corporation Ordinary Shares,ALSA
ALSAR - Alpha Star Acquisition Corporation Rights,ALSAR
ALSAW - Alpha Star Acquisition Corporation Warrants,ALSAW
ALSN - Allison Transmission Holdings Inc. Common Stock,ALSN
ALT - Altimmune Inc. Common Stock,ALT
ALTG - Alta Equipment Group Inc. Class A Common Stock,ALTG
ALTG^A - Alta Equipment Group Inc. Depositary Shares (each representing 1/1000th in a share of 10% Series A Cumulative Perpetual Preferred Stock),ALTG^A
ALTI - AlTi Global Inc. Class A Common Stock,ALTI
ALTIW - AlTi Global Inc. Warrant,ALTIW
ALTO - Alto Ingredients Inc. Common Stock,ALTO
ALTR - Altair Engineering Inc. Class A Common Stock,ALTR
ALTU - Altitude Acquisition Corp. Class A Common Stock,ALTU
ALTUW - Altitude Acquisition Corp. Warrant,ALTUW
ALV - Autoliv Inc. Common Stock,ALV
ALVO - Alvotech Ordinary Shares,ALVO
ALVOW - Alvotech Warrant,ALVOW
ALVR - AlloVir Inc. Common Stock,ALVR
ALX - Alexander's Inc. Common Stock,ALX
ALXO - ALX Oncology Holdings Inc. Common Stock,ALXO
ALYA - Alithya Group inc. Class A Subordinate Voting Shares,ALYA
ALZN - Alzamend Neuro Inc. Common Stock,ALZN
AM - Antero Midstream Corporation Common Stock,AM
AMAL - Amalgamated Financial Corp. Common Stock (DE),AMAL
AMAM - Ambrx Biopharma Inc. American Depositary Shares,AMAM
AMAOW - American Acquisition Opportunity Inc. Warrant,AMAOW
AMAT - Applied Materials Inc. Common Stock,AMAT
